State,District,City,Latitude,Longitude
Andhra Pradesh,-,-,16.5,80.63
Arunachal Pradesh,-,-,27.07,93.37
Assam,-,-,26.13,91.77
Bihar,-,-,25.4,85.1
Chhattisgarh,-,-,21.25,81.6
Goa,-,-,15.5,73.83
Gujarat,-,-,23.22,72.68
Haryana,-,-,30.73,76.78
Himachal Pradesh,-,-,31.1,77.17
Jharkhand,-,-,23.35,85.33
Karnataka,-,-,12.97,77.5
Kerala,-,-,8.5,77
Madhya Pradesh,-,-,0,0
Maharashtra,-,-,18.97,72.82
Manipur,-,-,0,0
Meghalaya,-,-,25.57,91.88
Mizoram,-,-,23.37,92.8
Nagaland,-,-,25.67,94.12
Odisha,-,-,20.27,85.82
Punjab,-,-,0,0
Rajasthan,-,-,26.6,73.8
Sikkim,-,-,27.33,88.62
Tamil Nadu,-,-,13.08,80.27
Telangana,-,-,17.35,78.47
Tripura,-,-,23.83,91.28
Uttar Pradesh,-,-,26.85,80.92
Uttarakhand,-,-,30.33,78.07
West Bengal,-,-,22.57,88.37
Andaman and Nicobar Islands,-,-,11.68,92.77
Chandigarh,-,-,30.75,76.78
Dadra and Nagar Haveli and Daman and Diu,-,-,20.42,72.83
Delhi,-,-,28.6,77.22
Jammu and Kashmir,-,-,0,0
Ladakh,-,-,34.17,77.57
Lakshadweep,-,-,10.57,72.63
Puducherry,-,-,11.9,79.8
Andhra Pradesh,Anantapur,-,14.7,77.6
Andhra Pradesh,Chittoor,-,14.47,78.82
Andhra Pradesh,East Godavari,-,16.95,82.25
Andhra Pradesh,Guntur,-,16.3,80.45
Andhra Pradesh,Kadapa,-,14.47,78.82
Andhra Pradesh,Krishna,-,16.28,81.22
Andhra Pradesh,Kurnool,-,15.8,77.97
Andhra Pradesh,Prakasam,-,15.33,79.55
Andhra Pradesh,Sri Potti Sriramulu Nellore,-,14.43,80
Andhra Pradesh,Srikakulam,-,18.42,84.02
Andhra Pradesh,Visakhapatnam,-,17.7,83.28
Andhra Pradesh,Vizianagaram,-,18.2,83.4
Andhra Pradesh,West Godavari,-,16.12,81.02
Arunachal Pradesh,Anjaw,-,27.92,96.33
Arunachal Pradesh,Changlang,-,27.12,95.73
Arunachal Pradesh,East Kameng,-,0,0
Arunachal Pradesh,East Siang,-,0,0
Arunachal Pradesh,Kamle,-,0,0
Arunachal Pradesh,Kra Daadi,-,0,0
Arunachal Pradesh,Kurung Kumey,-,27.9,93.35
Arunachal Pradesh,Lepa Rada,-,0,0
Arunachal Pradesh,Lohit,-,28,96.5
Arunachal Pradesh,Longding,-,0,0
Arunachal Pradesh,Lower Dibang Valley,-,28.13,95.83
Arunachal Pradesh,Lower Siang,-,0,0
Arunachal Pradesh,Lower Subansiri,-,27.8,93.6
Arunachal Pradesh,Namsai,-,27.67,95.87
Arunachal Pradesh,Pakke-Kessang,-,0,0
Arunachal Pradesh,Papum Pare,-,27.15,93.72
Arunachal Pradesh,Shi Yomi,-,0,0
Arunachal Pradesh,Siang,-,28.2,94.98
Arunachal Pradesh,Tawang,-,27.58,91.85
Arunachal Pradesh,Tirap,-,26.98,95.5
Arunachal Pradesh,Upper Dibang Valley,-,28.7,95.7
Arunachal Pradesh,Upper Siang,-,28.6,95.03
Arunachal Pradesh,Upper Subansiri,-,28.3,94
Arunachal Pradesh,West Kameng,-,0,0
Arunachal Pradesh,West Siang,-,28.4,94.55
Assam,Baksa,-,26.57,91.42
Assam,Barpeta,-,26.53,91
Assam,Bishwanath,-,0,0
Assam,Bongaigaon,-,26.47,90.57
Assam,Cachar,-,25.08,92.92
Assam,Charaideo,-,26.92,94.73
Assam,Chirang,-,0,0
Assam,Darrang,-,26.75,92.5
Assam,Dhemaji,-,27.47,94.55
Assam,Dhubri,-,26.03,89.97
Assam,Dibrugarh,-,27.47,94.92
Assam,Dima Hasao,-,25.18,93.03
Assam,Goalpara,-,26.43,90.37
Assam,Golaghat,-,26,93
Assam,Hailakandi,-,24.68,92.57
Assam,Hojai,-,26,92.87
Assam,Jorhat,-,26.75,94.22
Assam,Kamrup,-,26.33,91.25
Assam,Kamrup Metropolitan,-,26.18,91.73
Assam,Karbi Anglong,-,26.18,93.57
Assam,Karimganj,-,24.87,92.35
Assam,Kokrajhar,-,26.4,90.27
Assam,Lakhimpur,-,27.22,94.1
Assam,Majuli,-,26.95,94.17
Assam,Morigaon,-,26.25,92.33
Assam,Nagaon,-,26.35,92.67
Assam,Nalbari,-,26.45,91.43
Assam,Sivasagar,-,26.98,94.62
Assam,South Salmara,-,25.68,89.98
Assam,Sonitpur,-,26.63,92.8
Assam,Tinsukia,-,27.48,95.35
Assam,Udalguri,-,26.73,92.08
Assam,West Karbi Anglong,-,17.35,75.17
Bihar,Araria,-,26.12,87.47
Bihar,Arwal,-,25.23,84.67
Bihar,Aurangabad,-,19.88,75.32
Bihar,Banka,-,0,0
Bihar,Begusarai,-,25.42,86.13
Bihar,Bhagalpur,-,25,86.92
Bihar,Bhojpur,-,0,0
Bihar,Buxar,-,25.55,83.97
Bihar,Darbhanga,-,26,86
Bihar,East Champaran,-,26.65,84.92
Bihar,Gaya,-,24.75,85
Bihar,Gopalganj,-,0,0
Bihar,Jamui,-,24.92,86.22
Bihar,Jehanabad,-,24.75,85
Bihar,Kaimur,-,25.03,83.6
Bihar,Katihar,-,25.55,87.57
Bihar,Khagaria,-,25.5,86.47
Bihar,Kishanganj,-,25.67,86.93
Bihar,Lakhisarai,-,25.17,86.08
Bihar,Madhepura,-,25.9,86.77
Bihar,Madhubani,-,26.35,86.07
Bihar,Munger,-,25.37,86.45
Bihar,Muzaffarpur,-,26.12,85.38
Bihar,Nalanda,-,25.2,85.52
Bihar,Nawada,-,24.75,85
Bihar,Patna,-,25.42,85.17
Bihar,Purnia,-,25.77,87.47
Bihar,Rohtas,-,24.95,84
Bihar,Saharsa,-,25.88,86.6
Bihar,Samastipur,-,25.85,85.77
Bihar,Saran,-,25.92,84.75
Bihar,Sheikhpura,-,25.12,85.85
